,shop_id,store_amount,store_AOV,store_median
0,1,13588,308.8181818181818,316.0
1,2,9588,174.3272727272727,188.0
2,3,14652,305.25,296.0
3,4,13184,258.5098039215686,256.0
4,5,13064,290.31111111111113,284.0
5,6,22627,383.50847457627117,374.0
6,7,12208,218.0,224.0
7,8,11088,241.04347826086956,198.0
8,9,13806,234.0,236.0
9,10,17612,332.3018867924528,296.0
10,11,17480,356.734693877551,368.0
11,12,18693,352.6981132075472,402.0
12,13,21760,345.3968253968254,320.0
13,14,14036,242.0,232.0
14,15,16065,308.9423076923077,306.0
15,16,11076,270.1463414634146,312.0
16,17,17600,332.07547169811323,352.0
17,18,17472,342.5882352941176,312.0
18,19,20538,320.90625,326.0
19,20,13081,251.55769230769232,254.0
20,21,14200,308.69565217391306,284.0
21,22,13140,273.75,292.0
22,23,17472,317.6727272727273,312.0
23,24,17640,320.72727272727275,280.0
24,25,11180,232.91666666666666,260.0
25,26,16720,341.2244897959184,352.0
26,27,18083,334.8703703703704,338.0
27,28,13776,320.3720930232558,328.0
28,29,19234,331.62068965517244,326.0
29,30,16524,295.07142857142856,306.0
30,31,12642,268.97872340425533,258.0
31,32,7979,189.97619047619048,202.0
32,33,15051,376.275,346.0
33,34,11712,234.24,244.0
34,35,17056,328.0,328.0
35,36,12740,254.8,260.0
36,37,16330,340.2083333333333,284.0
37,38,13680,390.85714285714283,380.0
38,39,10988,268.0,268.0
39,40,14168,295.1666666666667,322.0
40,41,14986,254.0,236.0
41,42,11990176,235101.49019607843,704.0
42,43,19367,333.91379310344826,362.0
43,44,10224,262.15384615384613,288.0
44,45,15620,269.3103448275862,284.0
45,46,14940,347.4418604651163,332.0
46,47,12180,259.1489361702128,145.0
47,48,9711,242.775,234.0
48,49,14835,279.9056603773585,258.0
49,50,17756,403.54545454545456,386.0
50,51,16643,361.80434782608694,374.0
51,52,12994,316.9268292682927,292.0
52,53,14560,214.11764705882354,224.0
53,54,13832,276.64,266.0
54,55,15732,327.75,342.0
55,56,8073,218.1891891891892,234.0
56,57,15729,296.77358490566036,294.0
57,58,15042,254.94915254237287,276.0
58,59,21538,358.96666666666664,356.0
59,60,16461,350.2340425531915,354.0
60,61,17222,344.44,316.0
61,62,13280,308.83720930232556,320.0
62,63,15368,264.9655172413793,272.0
63,64,11704,272.1860465116279,266.0
64,65,17864,330.81481481481484,308.0
65,66,16583,312.8867924528302,322.0
66,67,10087,272.6216216216216,262.0
67,68,11968,254.63829787234042,272.0
68,69,15851,264.18333333333334,262.0
69,70,20241,343.06779661016947,346.0
70,71,21320,323.030303030303,328.0
71,72,14240,309.5652173913044,320.0
72,73,19470,335.6896551724138,330.0
73,74,11628,306.0,306.0
74,75,10112,240.76190476190476,256.0
75,76,13485,321.07142857142856,310.0
76,77,14040,280.8,312.0
77,78,2263800,49213.04347826087,51450.0
78,79,17738,328.48148148148147,362.0
79,80,13485,299.6666666666667,290.0
80,81,22656,384.0,354.0
81,82,14691,349.7857142857143,354.0
82,83,10449,248.78571428571428,258.0
83,84,20196,342.3050847457627,306.0
84,85,11524,329.25714285714287,344.0
85,86,14430,277.5,260.0
86,87,15198,292.2692307692308,298.0
87,88,17776,355.52,352.0
88,89,23128,379.1475409836066,392.0
89,90,19758,403.2244897959184,356.0
90,91,17600,325.9259259259259,320.0
91,92,6840,162.85714285714286,180.0
92,93,12654,214.47457627118644,228.0
93,94,13400,297.77777777777777,268.0
94,95,12432,318.7692307692308,336.0
95,96,16830,330.0,306.0
96,97,15552,324.0,324.0
97,98,14231,245.36206896551724,266.0
98,99,18330,339.44444444444446,390.0
99,100,8547,213.675,222.0
